canonicalId,name,description,module,path
"bmad-advanced-elicitation","bmad-advanced-elicitation","Push the LLM to reconsider, refine, and improve its recent output. Use when user asks for deeper critique or mentions a known deeper critique method, e.g. socratic, first principles, pre-mortem, red team","core","_bmad/core/bmad-advanced-elicitation/SKILL.md"
"bmad-brainstorming","bmad-brainstorming","Facilitate a brainstorming session using diverse creative techniques. Use when the user says 'help me brainstorm' or 'help me ideate'","core","_bmad/core/bmad-brainstorming/SKILL.md"
"bmad-customize","bmad-customize","Authors and updates customization overrides for installed BMad skills. Use when the user says 'customize bmad', 'override a skill', 'change agent behavior', or 'customize a workflow'","core","_bmad/core/bmad-customize/SKILL.md"
"bmad-deep-recon","bmad-deep-recon","Research a topic to support a decision, three ways: draft a research prompt for the user to run in their own tool (ChatGPT, Gemini, Grok, Perplexity, …), turn a finished research report into a short summary with cited sources that other skills can use directly, or run the research here with parallel web searches. Built-in research types: market, domain, technical, competitive, user-voice, academic-lit; also supports choosing between candidates, and custom types via overrides. Use when the user says ""deep recon"", ""research this"", ""draft a research prompt"", ""process this research report"", ""market research"", ""domain research"", ""technical research"", ""competitor research"", ""literature review"", or ""help me choose between""","core","_bmad/core/bmad-deep-recon/SKILL.md"
"bmad-forge-idea","bmad-forge-idea","Test a half-formed idea in a questioning conversation, with different personas probing its weak points, until the user can act on it or drop it with confidence. Optionally writes a short brief for planning skills to build on. Use when the user says 'forge an idea', 'pressure-test this idea', 'stress-test my thinking', or 'harden this idea'","core","_bmad/core/bmad-forge-idea/SKILL.md"
"bmad-help","bmad-help","Analyzes current state and user query to answer BMad questions or recommend the next skill(s) to use. Use when user asks for help, bmad help, what to do next, or what to start with in BMad","core","_bmad/core/bmad-help/SKILL.md"
"bmad-party-mode","bmad-party-mode","Orchestrates lively group discussions between installed BMAD agents or custom personas, and helps author custom parties. Use when the user requests party mode, a roundtable, or multiple agent perspectives — or wants to create/configure a party, define personas, or build an AI focus-group panel","core","_bmad/core/bmad-party-mode/SKILL.md"
"bmad-review","bmad-review","Runs one or more installed review lenses — adversarial critique, edge cases, verification gaps, structure, prose — and reports triaged findings. Use when, and only when, the user asks you to review a diff, a pull request, or an artifact — code or documents, one or many — and actually says ""review""; an explicit skill:bmad-review directive from another skill counts as that ask. A request to act on feedback from an earlier review is a change, not a review. Never invoke this uninvited, including on edits you just made.","core","_bmad/core/bmad-review/SKILL.md"
"bmad-agent-analyst","bmad-agent-analyst","Business analyst for market research, competitive analysis, and requirements. Use when the user asks to talk to Mary or requests the business analyst","bmm","_bmad/bmm/agents/bmad-agent-analyst/SKILL.md"
"bmad-agent-architect","bmad-agent-architect","System architect and technical design leader. Use when the user asks to talk to Winston or requests the architect","bmm","_bmad/bmm/agents/bmad-agent-architect/SKILL.md"
"bmad-agent-dev","bmad-agent-dev","Senior software engineer who implements stories and code changes. Use when the user asks to talk to Amelia or requests the developer agent","bmm","_bmad/bmm/agents/bmad-agent-dev/SKILL.md"
"bmad-agent-pm","bmad-agent-pm","Product manager for PRD creation and requirements discovery. Use when the user asks to talk to John or requests the product manager","bmm","_bmad/bmm/agents/bmad-agent-pm/SKILL.md"
"bmad-agent-ux-designer","bmad-agent-ux-designer","UX designer and UI specialist. Use when the user asks to talk to Sally or requests the UX designer","bmm","_bmad/bmm/agents/bmad-agent-ux-designer/SKILL.md"
"bmad-architecture","bmad-architecture","Work out and record the architecture decisions that keep separately built parts of a system consistent, in a short architecture document. Creates, updates, or validates one; works from a spec, a raw idea, or an existing codebase. Use when the user says ""create the architecture"", ""create technical architecture"", ""architecture spine"", or ""create a solution design""","bmm","_bmad/bmm/plan/bmad-architecture/SKILL.md"
"bmad-create-epics-and-stories","bmad-create-epics-and-stories","Break requirements into epics and user stories. Use when the user says ""create the epics and stories list""","bmm","_bmad/bmm/plan/bmad-create-epics-and-stories/SKILL.md"
"bmad-prd","bmad-prd","Create, update, or validate a PRD. Use when the user wants help producing, editing, or validating a PRD","bmm","_bmad/bmm/plan/bmad-prd/SKILL.md"
"bmad-prfaq","bmad-prfaq","Test a product concept with Amazon's Working Backwards method: write the press release for the finished product first, then answer hard customer and stakeholder questions, ending in a complete PRFAQ document. Use when the user requests to 'create a PRFAQ', 'work backwards', or 'run the PRFAQ challenge'","bmm","_bmad/bmm/plan/bmad-prfaq/SKILL.md"
"bmad-product-brief","bmad-product-brief","Create, update, or validate a product brief. Use when the user wants help producing, editing, or validating a brief","bmm","_bmad/bmm/plan/bmad-product-brief/SKILL.md"
"bmad-project-context","bmad-project-context","Set up, adopt, refresh, or audit a repository's agent instructions (the AGENTS.md block) so AI agents work well in that repo. Also records observed agent mistakes as pitfalls. Use when invoked by name","bmm","_bmad/bmm/plan/bmad-project-context/SKILL.md"
"bmad-spec","bmad-spec","Condense any input — an idea, brief, PRD, transcript, or mixed notes — into a short spec: SPEC.md plus supporting files that downstream skills build from. Also updates and validates existing specs, and can break a spec into stories. Use when the user says ""create a spec"", ""distill this into a spec"", ""validate this spec"", ""update the spec"", or ""break this into stories""","bmm","_bmad/bmm/plan/bmad-spec/SKILL.md"
"bmad-sprint-planning","bmad-sprint-planning","Check that planning is complete enough to implement, then generate the sprint status file from the epics. Can also summarize sprint progress and validate or repair the tracking file. Use when the user says ""run sprint planning"", ""generate sprint plan"", ""check implementation readiness"", ""show sprint status"", ""validate sprint status"", or ""fix sprint status""","bmm","_bmad/bmm/plan/bmad-sprint-planning/SKILL.md"
"bmad-ux","bmad-ux","Capture the user's UX vision in two documents: DESIGN.md for how the product looks and EXPERIENCE.md for how it behaves. Use when the user says ""lets create UX design"" or ""create UX specifications"" or ""help me plan the UX""","bmm","_bmad/bmm/plan/bmad-ux/SKILL.md"
"bmad-build","bmad-build","Turns implementation work into working code, reviewed and verified. Use when the user delegates a feature, story, bug fix, or meaningful change; a bare story or issue link counts. Skip obvious, low-risk mechanical maintenance such as small ignore-file, typo-only, formatting-only, or configuration-hygiene edits. Explicit BMAD requests always qualify. Do not volunteer for user-directed interactive edits or version-control operations that only record existing work.","bmm","_bmad/bmm/ship/bmad-build/SKILL.md"
"bmad-build-auto","bmad-build-auto","One iteration of an unattended development loop. Use when invoked by name","bmm","_bmad/bmm/ship/bmad-build-auto/SKILL.md"
"bmad-code-review","bmad-code-review","Review code changes with several independent reviewers in parallel, then triage and present the findings. Use when the user says ""run code review"" or ""review this code""","bmm","_bmad/bmm/ship/bmad-code-review/SKILL.md"
"bmad-correct-course","bmad-correct-course","Assess the impact of a significant change during sprint execution across the PRD, epics, architecture, and UX documents, and produce a sprint change proposal. Use when the user says ""correct course"" or ""propose sprint change""","bmm","_bmad/bmm/ship/bmad-correct-course/SKILL.md"
"bmad-qa-generate-e2e-tests","bmad-qa-generate-e2e-tests","Generate automated API and end-to-end tests for implemented features. Use when the user says ""create qa automated tests for [feature]""","bmm","_bmad/bmm/ship/bmad-qa-generate-e2e-tests/SKILL.md"
"bmad-retrospective","bmad-retrospective","Review a completed epic against the evidence it left behind — spec, stories, diffs, commits, sprint status — and produce a retrospective with sourced findings, action items, and an acceptance decision. Use when the user says ""run a retrospective"" or ""lets retro the epic [epic]"". Supports -H/--headless","bmm","_bmad/bmm/ship/bmad-retrospective/SKILL.md"
"bmad-walkthrough","bmad-walkthrough","Walk the user through reviewing a change: what it is for, what to look at closely, and how to test it. Use when the user says ""walkthrough"", ""walk me through this change"", or ""human review""","bmm","_bmad/bmm/ship/bmad-walkthrough/SKILL.md"
"bmad-agent-builder","bmad-agent-builder","Builds, edits or analyzes Agent Skills through conversational discovery. Use when the user requests to ""Create an Agent"", ""Analyze an Agent"" or ""Edit an Agent"".","bmb","_bmad/bmb/bmad-agent-builder/SKILL.md"
"bmad-bmb-setup","bmad-bmb-setup","Sets up BMad Builder module in a project. Use when the user requests to 'install bmb module', 'configure BMad Builder', or 'setup BMad Builder'.","bmb","_bmad/bmb/bmad-bmb-setup/SKILL.md"
"bmad-eval-runner","bmad-eval-runner","Run a skill's evals and report results. Use when the user wants to evaluate a skill, run evals, benchmark a skill, validate triggers, optimize a description, or grade skill outputs.","bmb","_bmad/bmb/bmad-eval-runner/SKILL.md"
"bmad-module-builder","bmad-module-builder","Plans, creates, and validates BMad modules. Use when the user requests to 'ideate module', 'plan a module', 'create module', 'build a module', or 'validate module'.","bmb","_bmad/bmb/bmad-module-builder/SKILL.md"
"bmad-workflow-builder","bmad-workflow-builder","Builds, edits, and analyzes workflows and skills. Use when the user requests to ""build a workflow"", ""modify a workflow"", ""quality check workflow"", or ""analyze skill"".","bmb","_bmad/bmb/bmad-workflow-builder/SKILL.md"
